Date,Price,Open,High,Low,Vol.,Change %
01/01/2025,3360.14,3337.8,3373.11,3315.98,209.22K,0.67%
12/31/2024,3337.8,3361.99,3449.27,3317.39,333.44K,-0.72%
12/30/2024,3361.99,3355.97,3436.83,3306.11,494.99K,0.18%
12/29/2024,3355.97,3404.53,3412.32,3327.45,176.43K,-1.43%
12/28/2024,3404.59,3334.23,3427.65,3322.42,196.38K,2.11%
12/27/2024,3334.19,3335.96,3438.85,3309.03,378.00K,-0.05%
12/26/2024,3335.96,3496.5,3512.77,3305.53,360.40K,-4.59%
12/25/2024,3496.49,3493.33,3546.29,3442.61,259.25K,0.09%
12/24/2024,3493.31,3422.01,3539.54,3359.77,352.36K,2.08%
12/23/2024,3422.01,3281.58,3463.58,3220.1,547.74K,4.28%
12/22/2024,3281.58,3338.72,3401.96,3223.39,400.57K,-1.71%
12/21/2024,3338.66,3474.05,3555.05,3294.0,521.99K,-3.90%
12/20/2024,3474.01,3418.83,3496.35,3103.72,1.45M,1.61%
12/19/2024,3418.84,3627.82,3719.52,3337.46,1.17M,-5.76%
12/18/2024,3627.88,3892.79,3902.3,3620.61,781.62K,-6.81%
12/17/2024,3892.79,3986.91,4040.69,3851.17,493.60K,-2.36%
12/16/2024,3986.91,3959.89,4102.9,3885.84,726.41K,0.68%
12/15/2024,3959.81,3871.13,3973.48,3832.12,272.40K,2.29%
12/14/2024,3871.13,3906.78,3943.06,3828.23,287.75K,-0.98%
12/13/2024,3909.48,3881.57,3966.5,3853.92,417.74K,0.72%
12/12/2024,3881.63,3831.7,3985.32,3797.58,634.18K,1.31%
12/11/2024,3831.41,3628.97,3848.02,3564.79,509.73K,5.58%
12/10/2024,3628.94,3718.98,3778.81,3521.57,1.02M,-2.42%
12/09/2024,3718.98,4002.91,4005.08,3550.21,1.02M,-7.09%
12/08/2024,4002.91,3996.25,4015.24,3924.77,273.27K,0.17%
12/07/2024,3996.24,3998.92,4023.96,3969.39,303.07K,-0.08%
12/06/2024,3999.51,3785.07,4084.99,3780.34,864.64K,5.66%
12/05/2024,3785.1,3836.23,3950.67,3696.83,1.05M,-1.33%
12/04/2024,3836.25,3615.07,3885.69,3615.07,1.06M,6.12%
12/03/2024,3615.07,3643.5,3669.4,3510.19,729.65K,-0.78%
12/02/2024,3643.48,3707.86,3756.7,3561.95,799.75K,-1.75%
12/01/2024,3708.33,3702.96,3743.78,3660.98,465.31K,0.14%
11/30/2024,3702.97,3592.13,3733.47,3572.64,563.91K,3.09%
11/29/2024,3592.13,3578.42,3642.95,3539.02,472.94K,0.38%
11/28/2024,3578.41,3653.26,3661.4,3530.79,613.22K,-2.06%
11/27/2024,3653.79,3326.3,3684.68,3303.79,827.39K,9.85%
11/26/2024,3326.3,3412.15,3460.4,3254.45,729.51K,-2.52%
11/25/2024,3412.18,3361.47,3544.71,3301.68,1.02M,1.51%
11/24/2024,3361.41,3393.92,3448.58,3285.45,525.45K,-0.96%
