Date,Open,High,Low,Close,Volume,Market Cap,Returns,Log Returns,Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Weekend,VolChange,VolLogChange,Parkinson,GarmanKlass
2020-01-01,0.9993664485610304,1.0000647502056523,0.9959132173970624,0.9998144613155576,21840547017.46362,4285605387.4180703,,,Wednesday,0,0,1,0,0,0,0,,,0.0024982772149848543,0.00292827656611408
2020-01-02,0.9998144613155576,1.0002693790434602,0.9971869910949818,0.9991249561719738,21229357384.173653,4285060658.474947,-0.0006896330972013,-0.0006898710034907,Thursday,0,0,0,1,0,0,0,-0.0279841724111241,-0.0283831911266231,0.0018535214243806367,0.0021398191652338386
2020-01-03,0.9991249561719738,1.0014985935133454,0.998032015900652,1.0013404719530523,29889884099.04576,4288139542.7321234,0.0022174561523986,0.0022150012249642,Friday,0,0,0,0,1,0,0,0.4079504884744402,0.3421350926818005,0.002082382837503752,0.002028833269175462
2020-01-04,1.0013404719530523,1.0013404719530523,0.9982443407268944,0.9982443407268944,28423601263.574924,4286404386.574165,-0.0030919865049687,-0.0030967765716716,Saturday,0,0,0,0,0,1,1,-0.0490561566117832,-0.050300268245237,0.001859803867619908,0.001044241320210611
2020-01-05,0.9982443407268944,1.0017629037978286,0.9966464095813689,0.9995783635721318,24761091705.55074,4285622785.6537848,0.0013363690539593,0.0013354769075713,Sunday,0,0,0,0,0,0,1,-0.1288545221297387,-0.1379462921153187,0.0030752204990367495,0.003524372874110958
2020-01-06,0.9995783635721318,0.9997180108653348,0.9978021360001172,0.9992694948671982,28507259790.168465,4284093454.6464014,-0.000308998990164,-0.0003090467401886,Monday,1,0,0,0,0,0,0,0.1512925249486452,0.1408852459713273,0.0011520289005836951,0.0013427412896996967
2020-01-07,0.9992694948671982,1.0007366534031596,0.9952249568651276,1.0005803404316873,34885655539.17845,4285133844.315892,0.0013118038439303,0.0013109441809918,Tuesday,0,1,0,0,0,0,0,0.2237463648193136,0.2019169443325846,0.0033168168243819757,0.0038193099119808124
2020-01-08,1.0005803404316873,1.000868148717751,0.9903374154982708,0.998966638112405,40806389549.745575,4282829210.7200327,-0.0016127663657533,-0.0016140682733988,Wednesday,0,0,1,0,0,0,0,0.1697182959316279,0.1567629471112524,0.006352341418778488,0.007411727494288589
2020-01-09,0.998966638112405,1.0003634970038409,0.9961980730517626,0.9995742184228388,35559158976.77149,4282668173.774769,0.0006082088102379,0.000608023926221,Thursday,0,0,0,1,0,0,0,-0.128588454672702,-0.1376409162159222,0.002505903842394708,0.00292617498383072
2020-01-10,0.9995742184228388,1.0022146312496634,0.9974207716897798,0.9986063930831232,33594201841.13785,4284865625.8464007,-0.0009682375974469,-0.0009687066422584,Friday,0,0,0,0,1,0,0,-0.055258819167158,-0.0568442717176844,0.002879536521839315,0.003336507694259961
2020-01-11,0.9986063930831232,1.0000250924848215,0.994836217377195,0.9980765396987918,39125502588.38137,4277259721.832388,-0.0005305928221582,-0.0005307336363419,Saturday,0,0,0,0,0,1,1,0.1646504588321593,0.1524210066608546,0.0031242714435141088,0.0036637287628473896
2020-01-12,0.9980765396987918,1.001183758237767,0.9970841404075726,0.9973766737975022,32081378087.60965,4281324335.730318,-0.0007012146598505,-0.0007014606258401,Sunday,0,0,0,0,0,0,1,-0.1800392080551452,-0.1984987545683942,0.002464209005830162,0.00286844144812325
2020-01-13,0.9973766737975022,0.9999369238310926,0.9973766737975022,0.9984066255165815,29426002687.79855,4282676130.855128,0.0010326607250175,0.0010321278977193,Monday,1,0,0,0,0,0,0,-0.0827699917553307,-0.0863970113021528,0.0015396557533073564,0.0016955091462103051
