Date,Price,Open,High,Low,Vol.,Change %,Returns,Log Returns,Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Vol_Norm
2025-01-01,1.0005,0.9999,1.0025,0.9999,1620000.0,0,0.0600060006000546,0.0005998800419843,Wednesday,0,0,1,0,0,0,0.8053713906751144
2024-12-31,0.9999,0.9999,1.0007,0.9999,939890.0,0,0.0,0.0,Tuesday,0,1,0,0,0,0,0.17406790663949354
2024-12-30,0.9999,1.0007,1.0017,0.9999,1010000.0,0,-0.0799440391725747,-0.0007997601146066,Monday,1,0,0,0,0,0,0.2391466251787554
2024-12-29,1.0007,1.0001,1.001,0.9999,558030.0,0,0.0599940005999277,0.0005997601139399,Sunday,0,0,0,0,0,0,-0.18038879656122725
2024-12-28,1.0001,1.0003,1.001,0.9999,779860.0,0,-0.0199940017994615,-0.0001999600086646,Saturday,0,0,0,0,0,1,0.025522088242145424
2024-12-27,1.0003,0.9999,1.0008,0.9999,1110000.0,0,0.040004000400029,0.0003999600093312,Friday,0,0,0,0,1,0,0.33197035722733886
2024-12-26,0.9999,0.9999,1.0002,0.9998,1010000.0,0,0.0,0.0,Thursday,0,0,0,1,0,0,0.2391466251787554
2024-12-25,0.9999,0.9998,1.0001,0.9997,803820.0,0,0.0,0.0,Wednesday,0,0,1,0,0,0,0.04776265444098602
2024-12-24,0.9999,0.9999,1.0006,0.9996,2430000.0,0,0.0100020004000889,0.0001000150023337,Tuesday,0,1,0,0,0,0,1.5572436202686404
2024-12-23,0.9998,1.0,1.0005,0.9997,1690000.0,0,-0.0199999999999977,-0.000200020002667,Monday,1,0,0,0,0,0,0.8703480031091229
2024-12-22,1.0,1.0001,1.001,0.9998,1880000.0,0,-0.0099990000999916,-9.999500033332494e-05,Sunday,0,0,0,0,0,0,1.0467130940014315
2024-12-21,1.0001,1.0,1.0003,0.9998,1760000.0,0,0.0099999999999988,9.999500033329732e-05,Saturday,0,0,0,0,0,1,0.9353246155431313
2024-12-20,1.0,0.9999,1.0008,0.9996,2750000.0,0,0.0,0.0,Friday,0,0,0,0,1,0,1.8542795628241076
2024-12-19,1.0,0.9999,1.0008,0.9991,3740000.0,0,0.0100010001000017,0.0001000050003332,Thursday,0,0,0,1,0,0,2.7732345101050835
2024-12-18,0.9999,1.0,1.0002,0.9998,2040000.0,0,-0.0099999999999988,-0.0001000050003333,Wednesday,0,0,1,0,0,0,1.195231065279165
2024-12-17,1.0,1.0,1.0005,0.9997,2770000.0,0,0.0,0.0,Tuesday,0,1,0,0,0,0,1.8728443092338243
2024-12-16,1.0,1.0,1.0009,0.9998,1620000.0,0,0.0,0.0,Monday,1,0,0,0,0,0,0.8053713906751144
2024-12-15,1.0,1.0,1.0006,0.9996,1120000.0,0,0.0,0.0,Sunday,0,0,0,0,0,0,0.34125273043219717
2024-12-14,1.0,1.0004,1.0005,0.9997,604030.0,0,-0.0399840063974421,-0.0003999200213269,Saturday,0,0,0,0,0,1,-0.13768987981887887
2024-12-13,1.0004,0.9999,1.0009,0.9997,2130000.0,0,0.0500050005000529,0.0004999250216603,Friday,0,0,0,0,1,0,1.2787724241228902
2024-12-12,0.9999,0.9996,1.0009,0.9996,2780000.0,0,0.030012004801927,0.0003000750210064,Thursday,0,0,0,1,0,0,1.8821266824386826
